Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,1249,64,65,6712.00,0.633895,136.813,453.876,3609.09,62096.0,0.00000,64.0200,65.6911,1.80650,1.80650,30.2921
Series 1.tif: x0 y0 w128 h128,1310,64,65,9636.00,0.752658,141.352,1216.27,3024.04,171921,0.00000,64.1621,65.0400,2.22215,2.22215,21.8923
Series 1.tif: x0 y0 w128 h128,1313,64,64,6936.00,0.669044,138.717,1503.75,2472.96,208596,0.00000,64.1865,64.8573,2.73925,2.73925,24.5551
Series 1.tif: x0 y0 w128 h128,1311,63,64,6718.00,0.534755,139.986,979.200,3358.92,137074,0.00000,63.8943,64.7697,2.41345,2.41345,26.8991
Series 1.tif: x0 y0 w128 h128,1317,64,64,5266.00,0.771447,135.818,868.442,2809.17,117950,0.00000,64.2397,64.6052,2.19046,2.19046,26.2659
Series 1.tif: x0 y0 w128 h128,1314,63,64,6197.00,0.538118,138.521,592.196,3647.67,82031.4,0.00000,63.6904,64.6506,2.12668,2.12668,31.0088
Series 1.tif: x0 y0 w128 h128,1315,64,65,6488.00,0.784217,134.882,1738.04,1897.54,234430,0.00000,63.9811,64.9036,2.80877,2.80877,23.6599
Series 1.tif: x0 y0 w128 h128,1320,63,64,6537.00,0.670290,134.111,1134.64,2454.21,152167,0.00000,63.8326,64.9110,2.55793,2.55793,26.9660
Series 1.tif: x0 y0 w128 h128,1316,63,65,6944.00,0.729773,135.978,1276.96,2471.88,173638,0.00000,63.9298,65.0649,2.61638,2.61638,25.7626
Series 1.tif: x0 y0 w128 h128,1322,64,65,10106.0,0.871045,142.655,351.261,4546.36,50109.0,0.00000,64.1118,66.3434,0.801868,0.801868,15.2250
Series 1.tif: x0 y0 w128 h128,1318,63,64,6889.00,0.605994,135.647,983.309,2798.68,133383,0.00000,63.8421,64.4411,2.49842,2.49842,28.2496
Series 1.tif: x0 y0 w128 h128,1319,64,64,5871.00,0.759831,135.175,578.712,3242.05,78227.5,0.00000,64.2808,64.9173,1.92104,1.92104,28.5029
Series 1.tif: x0 y0 w128 h128,1328,64,64,4014.00,0.521487,114.618,438.407,2685.61,50249.3,0.00000,63.8829,64.9243,2.07155,2.07155,38.7196
Series 1.tif: x0 y0 w128 h128,1325,64,64,5883.00,0.619172,132.869,1265.41,2165.96,168133,0.00000,64.0813,64.7090,2.86507,2.86507,28.8060
