Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,+/-,Signal,+/-,Angle,+/-,X,+/-,Y,+/-,X SD,+/-,Y SD,+/-,Precision (nm)
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,95,45,49,29176,0.722854,19.8701,339.882,221.089,0.0137975,6753.49,0.882559,0,0,-63.64090992,0.00839499,36.94561212,0.00840358,280.354,0.015978,280.354,0.015978,9.89413
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,97,45,49,30840,0.705857,20.2403,404.576,229.404,0.0164021,8188.74,1.13299,0,0,-35.42090992,0.00791453,44.07561212,0.00793897,297.775,0.0171955,297.775,0.0171955,9.42767
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,100,45,49,27529,0.674319,20.2965,301.109,244.587,0.00991585,6111.46,0.571007,0,0,-115.7509099,0.00765114,63.35561212,0.00762612,255.268,0.0112949,255.268,0.0112949,9.39085
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,103,45,49,21012,0.497689,20.5916,669.517,165.141,0.0415579,13786.5,4.31215,0,0,-29.70090992,0.00960073,52.93561212,0.00969843,396.995,0.0429947,396.995,0.0429947,9.85302
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,104,45,49,23440,0.629945,19.8812,1529.08,25.8864,0.0830115,30399.9,11.6393,0,0,-89.53090992,0.00764236,26.99561212,0.00752281,480.555,0.0579804,480.555,0.0579804,7.07586
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,105,45,49,21805,0.709993,19.9836,448.692,214.958,0.0188612,8966.49,1.40891,0,0,-58.94090992,0.00824221,67.90561212,0.00834873,315.209,0.0199422,315.209,0.0199422,9.51172
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,107,45,49,27352,0.648609,20.3839,463.573,190.037,0.0216222,9449.41,1.6731,0,0,-34.61090992,0.00836879,35.15561212,0.00838254,324.479,0.0225222,324.479,0.0225222,9.65059
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,108,45,49,26308,0.685672,19.7916,477.134,220.743,0.0192263,9443.24,1.507,0,0,-105.0209099,0.00853196,79.65561212,0.00857897,324.763,0.0206715,324.763,0.0206715,9.51037
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,109,45,49,26204,0.630564,20.2842,329.047,234.161,0.0121076,6674.44,0.739603,0,0,-42.90090992,0.00780144,59.64561212,0.00784116,269.58,0.0134583,269.58,0.0134583,9.518
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,110,45,49,22348,0.653348,19.9109,564.879,166.738,0.027406,11247.2,2.47211,0,0,-68.04090992,0.00909543,86.96561212,0.00937039,359.627,0.0293185,359.627,0.0293185,9.7332
